strahler_order,tokunaga_index,length
1,12,12545.10337
2,22,31395.78299
1,12,15613.69432
2,22,28878.78412
1,12,25393.45611
2,22,6085.987551
1,12,68418.81761
2,22,15842.22795
1,12,19081.64128
2,22,2948.181415
1,12,11769.2084
2,22,16283.12076
1,11,3422.812468
1,11,7003.054837
1,11,36765.66103
2,22,10609.57396
1,11,42345.58746
3,33,75633.1014
3,33,14692.15432
1,13,13455.41085
1,13,49386.69955
3,33,9250.607297
1,13,13103.76789
3,33,6334.110013
1,13,33665.21712
3,33,124183.9807
2,23,17043.07541
1,12,25931.31757
1,12,23020.42471
2,22,20220.17297
1,11,6848.80711
1,11,22002.38603
2,22,15010.0891
3,33,54892.69319
3,33,20413.08267
1,13,16348.40851
3,33,15386.84724
2,22,1960.421805
1,11,30145.80506
1,11,42116.03639
2,22,4071.528973
2,22,5946.735541
1,11,13184.85113
1,11,12691.31799
1,12,13675.27409
4,44,50121.22206
2,24,19610.65393
1,11,7001.869901
1,11,20059.85528
4,44,37673.95255
4,44,17874.30078
1,14,44766.96043
2,24,28625.2574
1,11,8633.957286
1,13,19307.08241
3,33,8788.179545
1,11,15013.65625
2,22,12231.02175
3,33,38797.59725
1,13,15451.41104
1,12,26442.36601
2,22,2594.306022
1,12,7685.355818
2,22,13461.03828
1,11,26363.7151
4,44,132139.8381
1,14,27506.05946
4,44,30479.10669
2,24,27221.56065
1,11,4281.849087
1,11,19489.98681
4,44,12410.5749
2,24,33385.05964
1,11,9907.524681
1,11,12784.69787
4,44,8427.44553
5,55,39387.01361
4,44,27381.04011
1,14,13500.29901
1,14,16768.33182
4,44,10071.46909
1,14,10742.75764
1,14,18681.00962
4,44,2386.706254
4,44,22592.51989
1,14,8390.104638
1,14,28697.17871
2,24,4415.935578
1,12,13451.57932
2,22,8136.924664
1,11,15665.84043
1,11,11611.59792
1,14,3915.155046
1,14,11893.2879
1,14,12625.48428
4,44,5534.888337
4,44,15742.97221
4,44,22391.58154
4,44,1238.749885
4,44,23712.36166
4,44,35475.37745
3,34,23169.41213
1,13,14356.91189
1,13,16050.25093
2,22,58339.31319
1,11,20173.89148
1,11,24423.08423
2,22,8258.300441
3,34,12253.9535
4,44,20599.05396
1,14,24532.10057
4,44,16229.45864
1,14,32827.35338
4,44,26353.92225
1,14,11532.33823
4,44,14325.35039
2,24,18025.42289
1,12,14794.63306
2,24,9378.2604
1,12,4567.334618
1,12,17433.52168
4,44,12839.55353
3,33,10879.29214
3,33,38257.19359
1,13,17623.10117
3,33,16503.46286
3,33,25008.88156
2,23,20268.15363
1,11,12102.20695
1,11,49672.70004
1,13,12321.38251
3,33,8879.607684
1,13,9998.876761
3,33,3112.65794
3,33,21172.21367
2,23,7103.473116
1,11,9541.973213
1,11,18633.02868
3,33,14364.55466
1,13,29214.23078
1,12,12839.62518
1,11,17750.55063
1,11,25112.70355
1,13,90729.15808
1,11,16978.61835
1,11,24931.59163
2,24,24159.67656
2,22,13714.08677
1,12,22433.08422
1,12,38352.18206
2,22,43073.09722
1,11,21918.284
1,11,14572.92488
2,22,3717.756344
2,22,12972.43665
1,11,9710.016765
1,12,5823.511497
2,22,11178.66034
1,11,24926.82744
2,22,3086.387995
3,33,4882.482207
1,11,12120.16554
2,22,4568.360539
1,11,15077.22737
1,11,16324.86568
